Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Czechia,Europe and Central Asia,25.41189,8.081969,16.347,Empty,81.66525,165.0413,Empty
Denmark,Europe and Central Asia,20.45157,14.72833,18.774,64.2,66.79564,394.2966,Empty
Djibouti,Middle East and North Africa,27.14289,1.793991,8.028,12.1,14.46036,42.91778,Empty
Dominica,Latin America and the Caribbean,49.51277,16.34721,13.557,7.0,57.76016,112.7708,Empty
Dominican Republic,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Ecuador,Latin America and the Caribbean,61.98479,7.877502,14.865,10.5,53.8397,109.2852,Empty
Egypt,Middle East and North Africa,14.74742,4.03087,12.912,26.7,31.88231,52.37174,0.47
El Salvador,Latin America and the Caribbean,45.82882,8.929018,11.91,23.8,43.30321,238.7529,Empty
Equatorial Guinea,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Eritrea,Sub-Saharan Africa,25.11639,Empty,7.319,10.2,Empty,Empty,Empty
Estonia,Europe and Central Asia,23.34837,12.71949,15.943,111.5,67.69321,318.606,0.13
Eswatini,Sub-Saharan Africa,19.69211,1.656224,14.927,Empty,25.73062,48.15864,Empty
Ethiopia,Sub-Saharan Africa,22.08885,0.324725,9.939,9.7,6.474814,30.88821,0.54
Falkland Islands (Malvinas),Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Faroe Islands,Europe and Central Asia,313.0092,Empty,Empty,Empty,Empty,Empty,Empty
Fiji,East Asia and Pacific,77.76166,5.895577,13.849,26.8,52.48379,49.77364,Empty
Finland,Europe and Central Asia,7.416708,9.898994,19.229,91.7,71.25287,256.1402,0.1
France,Europe and Central Asia,22.00374,13.37827,15.988,66.6,82.49285,251.0864,0.15
